"Host","Species","Parasite","Cargo","Carrier","Group","dataSet"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anas acuta","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anas americana","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anas clypeata","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anas crecca","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anas penelope","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anas platyrhynchos","Domestic Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anser anser","Domestic Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Anser caerulescens","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Aptenodytes patagonicus","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Ardea cinerea","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Ardeola bacchus","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Aythya fuligula","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Buteo magnirostris","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Calidris mauri","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Calidris ptilocnemis","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Columba livia","Domestic Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Cygnus cygnus","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Dendrocygna javanica","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Gallus gallus","Domestic Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Lama pacos","Domestic Mammal","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Larus glaucescens","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Larus ridibundus","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Lonchura striata","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Meleagris gallopavo","Domestic Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Pavo cristatus","Domestic Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Penelope superciliaris","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Phalacrocorax carbo","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Platalea minor","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Porphyrio martinica","Aves","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Sus scrofa","Domestic Mammal","bushmarket_Laos"
"Aves","Ardeola bacchus","Virus","avian coronavirus","Turdus hortulorum","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Accipiter cooperii","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Accipiter gentilis","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Aegypius monachus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Agelaius phoeniceus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Anas querquedula","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Anser anser","Domestic Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Aquila chrysaetos","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Athene noctua","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Bonasa umbellus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Branta canadensis","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Bubo virginianus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Arthropod","tinaminyssus bubulci","Bubulcus ibis","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Bubulcus ibis","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Buteo jamaicensis","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Buteo lineatus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Butorides virescens","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Canis lupus familiaris","Domestic Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Carpodacus mexicanus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Colaptes auratus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Columba livia","Domestic Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Corvus brachyrhynchos","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Corvus corax","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Corvus cornix","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Corvus corone","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Corvus frugilegus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Cyanocitta cristata","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Equus caballus","Domestic Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Falco columbarius","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Falco punctatus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Falco sparverius","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Gallus gallus","Domestic Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Garrulus glandarius","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Homo sapiens","Human","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Mephitis mephitis","Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Mesocricetus auratus","Rodent","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Mimus polyglottos","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Molothrus ater","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Mus musculus","Rodent","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Ovis aries","Domestic Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Passer domesticus","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Phalacrocorax carbo","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Pica pica","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Poecile atricapilla","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Quiscalus quiscula","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Rousettus leschenaultii","Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Sciurus carolinensis","Rodent","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Sciurus niger","Rodent","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Sus scrofa","Domestic Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Sus scrofa","Domestic Mammal","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Turdus merula","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Turdus migratorius","Aves","bushmarket_Laos"
"Aves","Bubulcus ibis","Virus","west nile virus","Zenaida macroura","Aves","bushmarket_Laos"
"Aves","Chalcophaps indica","Arthropod","coloceras neoindicum","Chalcophaps indica","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anas acuta","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anas americana","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anas clypeata","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anas crecca","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anas penelope","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anas platyrhynchos","Domestic Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anser anser","Domestic Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Anser caerulescens","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Aptenodytes patagonicus","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Ardea cinerea","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Ardeola bacchus","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Aythya fuligula","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Buteo magnirostris","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Calidris mauri","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Calidris ptilocnemis","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Columba livia","Domestic Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Cygnus cygnus","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Dendrocygna javanica","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Gallus gallus","Domestic Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Lama pacos","Domestic Mammal","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Larus glaucescens","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Larus ridibundus","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Lonchura striata","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Meleagris gallopavo","Domestic Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Pavo cristatus","Domestic Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Penelope superciliaris","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Phalacrocorax carbo","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Platalea minor","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Porphyrio martinica","Aves","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Sus scrofa","Domestic Mammal","bushmarket_Laos"
"Aves","Dendrocygna javanica","Virus","avian coronavirus","Turdus hortulorum","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Anhinga anhinga","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Ardea alba","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Ardea herodias","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Botaurus lentiginosus","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Butorides virescens","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Cracticus tibicen","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Cyanopica cyanus","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Egretta garzetta","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Egretta garzetta","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Egretta tricolor","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Felis catus","Domestic Mammal","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Gallus gallus","Domestic Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Homo sapiens","Human","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Hypsipetes amaurotis","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Malurus cyaneus","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Melithreptus brevirostris","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Nycticorax nycticorax","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Passer montanus","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Pelecanus occidentalis","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Phalacrocorax auritus","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Helminth","southwellina hispida","Phalacrocorax brasilianus","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Phalacrocorax carbo","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Puffinus tenuirostris","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Rhipidura fuliginosa","Aves","bushmarket_Laos"
"Aves","Egretta garzetta","Bacteria","escherichia albertii","Sturnus cineraceus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Accipiter cooperii","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Accipiter gentilis","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Aegypius monachus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Agelaius phoeniceus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Anas querquedula","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Anser anser","Domestic Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Aquila chrysaetos","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Athene noctua","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Bonasa umbellus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Branta canadensis","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Bubo virginianus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Bubulcus ibis","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Buteo jamaicensis","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Buteo lineatus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Butorides virescens","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Canis lupus familiaris","Domestic Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Carpodacus mexicanus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Colaptes auratus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Columba livia","Domestic Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Corvus brachyrhynchos","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Corvus corax","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Corvus cornix","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Corvus corone","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Corvus frugilegus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Cyanocitta cristata","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Equus caballus","Domestic Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Falco columbarius","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Falco punctatus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Falco sparverius","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Gallus gallus","Domestic Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Garrulus glandarius","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Homo sapiens","Human","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Mephitis mephitis","Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Mesocricetus auratus","Rodent","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Mimus polyglottos","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Molothrus ater","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Mus musculus","Rodent","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Ovis aries","Domestic Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Passer domesticus","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Phalacrocorax carbo","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Pica pica","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Poecile atricapilla","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Quiscalus quiscula","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Rousettus leschenaultii","Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Sciurus carolinensis","Rodent","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Sciurus niger","Rodent","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Sus scrofa","Domestic Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Sus scrofa","Domestic Mammal","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Turdus merula","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Turdus migratorius","Aves","bushmarket_Laos"
"Aves","Garrulus glandarius","Virus","west nile virus","Zenaida macroura","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Accipiter trivirgatus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Acinonyx jubatus","Mammal","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aechmophorus occidentalis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aix galericulata","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aix sponsa","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Alectoris chukar","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Alopochen aegyptiacus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anas acuta","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas acuta","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anas americana","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas americana","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas capensis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas carolinensis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas castanea","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anas clypeata","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas clypeata","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anas crecca","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas crecca","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas cyanoptera","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas discors","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas formosa","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anas penelope","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas penelope","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anas platyrhynchos","Domestic Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas platyrhynchos","Domestic Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas poecilorhyncha","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas querquedula","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas rubripes","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas strepera","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anas superciliosa","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anser albifrons","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anser anser","Domestic Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anser anser","Domestic Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anser brachyrhynchus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Anser caerulescens","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anser caerulescens","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anser fabalis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Anser indicus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Aptenodytes patagonicus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Ardea alba","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Ardea cinerea","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Ardea cinerea","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Ardeola bacchus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Arenaria interpres","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Arenaria melanocephala","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aythya americana","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aythya collaris","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aythya ferina","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Aythya fuligula","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Aythya fuligula","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Bombycilla cedrorum","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Branta canadensis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Branta leucopsis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Bucephala albeola","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Bucephala clangula","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Buteo buteo","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Buteo magnirostris","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Butorides virescens","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Cairina moschata","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris acuminata","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris alba","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris alpina","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris canutus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Calidris mauri","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris minutilla","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Calidris ptilocnemis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris pusilla","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Calidris ruficollis","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Canis lupus familiaris","Domestic Mammal","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Catharus fuscescens","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Catharus guttatus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Catharus ustulatus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Chlidonias hybridus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Chrysolophus pictus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Ciconia ciconia","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Columba livia","Domestic Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Columba livia","Domestic Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Contopus sordidulus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Corvus frugilegus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Corvus monedula","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Corvus splendens","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Coturnix japonica","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Cygnus columbianus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","avian coronavirus","Cygnus cygnus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Cygnus cygnus","Aves","bushmarket_Laos"
"Aves","Lonchura striata","Virus","influenza a virus","Cygnus olor","Aves","bushmarket_Laos"
